source_index,sample_seed,source_split,source_split_id,geometry_id,geometry_partition,assignment_seed,assignment_rule,mask_bits,active_angles_degrees,family_id,noise_level
211,30460832,test_iid,2,g_010011111,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,010011111,"20,80,100,120,140,160",1,0.05
212,30460833,test_iid,2,g_010011111,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,010011111,"20,80,100,120,140,160",0,0.02
213,30460834,test_iid,2,g_111011010,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,111011010,"0,20,40,80,100,140",0,0.05
214,30460835,test_iid,2,g_011011101,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,011011101,"20,40,80,100,120,160",0,0.02
215,30460836,test_iid,2,g_111001101,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,111001101,"0,20,40,100,120,160",0,0.05
216,30460837,test_iid,2,g_111011010,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,111011010,"0,20,40,80,100,140",0,0.02
217,30460838,test_iid,2,g_010011111,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,010011111,"20,80,100,120,140,160",0,0.05
218,30460839,test_iid,2,g_111011010,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,111011010,"0,20,40,80,100,140",1,0.02
219,30460840,test_iid,2,g_111001101,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,111001101,"0,20,40,100,120,160",1,0.05
220,30460841,test_iid,2,g_011011101,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,011011101,"20,40,80,100,120,160",1,0.02
221,30460842,test_iid,2,g_111011010,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,111011010,"0,20,40,80,100,140",1,0.05
222,30460843,test_iid,2,g_111001101,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,111001101,"0,20,40,100,120,160",1,0.02
223,30460844,test_iid,2,g_010011111,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,010011111,"20,80,100,120,140,160",1,0.05
224,30460845,test_iid,2,g_011011101,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,011011101,"20,40,80,100,120,160",0,0.02
225,30460846,test_iid,2,g_010011111,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,010011111,"20,80,100,120,140,160",0,0.05
226,30460847,test_iid,2,g_111001101,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,111001101,"0,20,40,100,120,160",0,0.02
227,30460848,test_iid,2,g_111011010,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,111011010,"0,20,40,80,100,140",0,0.05
228,30460849,test_iid,2,g_111001101,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,111001101,"0,20,40,100,120,160",0,0.02
229,30460850,test_iid,2,g_010011111,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,010011111,"20,80,100,120,140,160",0,0.05
230,30460851,test_iid,2,g_111001101,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,111001101,"0,20,40,100,120,160",1,0.02
231,30460852,test_iid,2,g_111001101,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,111001101,"0,20,40,100,120,160",1,0.05
232,30560821,test_noise_ood,3,g_111011010,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,111011010,"0,20,40,80,100,140",0,0.08
233,30560822,test_noise_ood,3,g_010011111,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,010011111,"20,80,100,120,140,160",0,0.12
234,30560823,test_noise_ood,3,g_111001101,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,111001101,"0,20,40,100,120,160",0,0.08
235,30560824,test_noise_ood,3,g_111001101,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,111001101,"0,20,40,100,120,160",0,0.12
236,30560825,test_noise_ood,3,g_011011101,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,011011101,"20,40,80,100,120,160",0,0.08
237,30560826,test_noise_ood,3,g_011011101,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,011011101,"20,40,80,100,120,160",0,0.12
238,30560827,test_noise_ood,3,g_010011111,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,010011111,"20,80,100,120,140,160",1,0.08
239,30560828,test_noise_ood,3,g_011011101,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,011011101,"20,40,80,100,120,160",1,0.12
240,30560829,test_noise_ood,3,g_011011101,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,011011101,"20,40,80,100,120,160",1,0.08
241,30560830,test_noise_ood,3,g_111011010,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,111011010,"0,20,40,80,100,140",1,0.12
242,30560831,test_noise_ood,3,g_111011010,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,111011010,"0,20,40,80,100,140",1,0.08
243,30560832,test_noise_ood,3,g_111001101,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,111001101,"0,20,40,100,120,160",1,0.12
244,30560833,test_noise_ood,3,g_111011010,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,111011010,"0,20,40,80,100,140",0,0.08
245,30560834,test_noise_ood,3,g_111011010,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,111011010,"0,20,40,80,100,140",0,0.12
246,30560835,test_noise_ood,3,g_111001101,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,111001101,"0,20,40,100,120,160",0,0.08
247,30560836,test_noise_ood,3,g_111001101,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,111001101,"0,20,40,100,120,160",0,0.12
248,30560837,test_noise_ood,3,g_111001101,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,111001101,"0,20,40,100,120,160",0,0.08
249,30560838,test_noise_ood,3,g_111011010,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,111011010,"0,20,40,80,100,140",0,0.12
250,30560839,test_noise_ood,3,g_111011010,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,111011010,"0,20,40,80,100,140",1,0.08
251,30560840,test_noise_ood,3,g_010011111,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,010011111,"20,80,100,120,140,160",1,0.12
252,30560841,test_noise_ood,3,g_011011101,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,011011101,"20,40,80,100,120,160",1,0.08
253,30560842,test_noise_ood,3,g_011011101,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,011011101,"20,40,80,100,120,160",1,0.12
254,30560843,test_noise_ood,3,g_111011010,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,111011010,"0,20,40,80,100,140",1,0.08
255,30560844,test_noise_ood,3,g_010011111,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,010011111,"20,80,100,120,140,160",1,0.12
256,30560845,test_noise_ood,3,g_111001101,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,111001101,"0,20,40,100,120,160",0,0.08
257,30560846,test_noise_ood,3,g_111001101,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,111001101,"0,20,40,100,120,160",0,0.12
258,30560847,test_noise_ood,3,g_011011101,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,011011101,"20,40,80,100,120,160",0,0.08
259,30560848,test_noise_ood,3,g_011011101,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,011011101,"20,40,80,100,120,160",0,0.12
260,30560849,test_noise_ood,3,g_010011111,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,010011111,"20,80,100,120,140,160",0,0.08
261,30560850,test_noise_ood,3,g_010011111,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,010011111,"20,80,100,120,140,160",0,0.12
262,30560851,test_noise_ood,3,g_010011111,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,010011111,"20,80,100,120,140,160",1,0.08
263,30560852,test_noise_ood,3,g_010011111,geometry_ood,20261221,sha256 source ordering + balanced cyclic geometry,010011111,"20,80,100,120,140,160",1,0.12
264,30660821,test_family_ood,4,g_100011111,stress,20261221,sha256 source ordering + balanced cyclic geometry,100011111,"0,80,100,120,140,160",2,0.02
265,30660822,test_family_ood,4,g_111000111,stress,20261221,sha256 source ordering + balanced cyclic geometry,111000111,"0,20,40,120,140,160",2,0.05
266,30660823,test_family_ood,4,g_111010011,stress,20261221,sha256 source ordering + balanced cyclic geometry,111010011,"0,20,40,80,140,160",2,0.02
267,30660824,test_family_ood,4,g_110001111,stress,20261221,sha256 source ordering + balanced cyclic geometry,110001111,"0,20,100,120,140,160",2,0.05
268,30660825,test_family_ood,4,g_111000111,stress,20261221,sha256 source ordering + balanced cyclic geometry,111000111,"0,20,40,120,140,160",2,0.02
269,30660826,test_family_ood,4,g_111010011,stress,20261221,sha256 source ordering + balanced cyclic geometry,111010011,"0,20,40,80,140,160",2,0.05
270,30660827,test_family_ood,4,g_110001111,stress,20261221,sha256 source ordering + balanced cyclic geometry,110001111,"0,20,100,120,140,160",2,0.02
271,30660828,test_family_ood,4,g_100011111,stress,20261221,sha256 source ordering + balanced cyclic geometry,100011111,"0,80,100,120,140,160",2,0.05
272,30660829,test_family_ood,4,g_110001111,stress,20261221,sha256 source ordering + balanced cyclic geometry,110001111,"0,20,100,120,140,160",2,0.02
273,30660830,test_family_ood,4,g_100011111,stress,20261221,sha256 source ordering + balanced cyclic geometry,100011111,"0,80,100,120,140,160",2,0.05
274,30660831,test_family_ood,4,g_111010011,stress,20261221,sha256 source ordering + balanced cyclic geometry,111010011,"0,20,40,80,140,160",2,0.02
275,30660832,test_family_ood,4,g_111010011,stress,20261221,sha256 source ordering + balanced cyclic geometry,111010011,"0,20,40,80,140,160",2,0.05
276,30660833,test_family_ood,4,g_111010011,stress,20261221,sha256 source ordering + balanced cyclic geometry,111010011,"0,20,40,80,140,160",2,0.02
277,30660834,test_family_ood,4,g_111000111,stress,20261221,sha256 source ordering + balanced cyclic geometry,111000111,"0,20,40,120,140,160",2,0.05
278,30660835,test_family_ood,4,g_110001111,stress,20261221,sha256 source ordering + balanced cyclic geometry,110001111,"0,20,100,120,140,160",2,0.02
279,30660836,test_family_ood,4,g_110001111,stress,20261221,sha256 source ordering + balanced cyclic geometry,110001111,"0,20,100,120,140,160",2,0.05
280,30660837,test_family_ood,4,g_111010011,stress,20261221,sha256 source ordering + balanced cyclic geometry,111010011,"0,20,40,80,140,160",2,0.02
281,30660838,test_family_ood,4,g_100011111,stress,20261221,sha256 source ordering + balanced cyclic geometry,100011111,"0,80,100,120,140,160",2,0.05
282,30660839,test_family_ood,4,g_100011111,stress,20261221,sha256 source ordering + balanced cyclic geometry,100011111,"0,80,100,120,140,160",2,0.02
283,30660840,test_family_ood,4,g_111000111,stress,20261221,sha256 source ordering + balanced cyclic geometry,111000111,"0,20,40,120,140,160",2,0.05
284,30660841,test_family_ood,4,g_111000111,stress,20261221,sha256 source ordering + balanced cyclic geometry,111000111,"0,20,40,120,140,160",2,0.02
285,30660842,test_family_ood,4,g_111000111,stress,20261221,sha256 source ordering + balanced cyclic geometry,111000111,"0,20,40,120,140,160",2,0.05
286,30660843,test_family_ood,4,g_110001111,stress,20261221,sha256 source ordering + balanced cyclic geometry,110001111,"0,20,100,120,140,160",2,0.02
287,30660844,test_family_ood,4,g_100011111,stress,20261221,sha256 source ordering + balanced cyclic geometry,100011111,"0,80,100,120,140,160",2,0.05
288,30660845,test_family_ood,4,g_111010011,stress,20261221,sha256 source ordering + balanced cyclic geometry,111010011,"0,20,40,80,140,160",2,0.02
289,30660846,test_family_ood,4,g_111010011,stress,20261221,sha256 source ordering + balanced cyclic geometry,111010011,"0,20,40,80,140,160",2,0.05
290,30660847,test_family_ood,4,g_110001111,stress,20261221,sha256 source ordering + balanced cyclic geometry,110001111,"0,20,100,120,140,160",2,0.02
291,30660848,test_family_ood,4,g_110001111,stress,20261221,sha256 source ordering + balanced cyclic geometry,110001111,"0,20,100,120,140,160",2,0.05
292,30660849,test_family_ood,4,g_100011111,stress,20261221,sha256 source ordering + balanced cyclic geometry,100011111,"0,80,100,120,140,160",2,0.02
293,30660850,test_family_ood,4,g_111000111,stress,20261221,sha256 source ordering + balanced cyclic geometry,111000111,"0,20,40,120,140,160",2,0.05
294,30660851,test_family_ood,4,g_111000111,stress,20261221,sha256 source ordering + balanced cyclic geometry,111000111,"0,20,40,120,140,160",2,0.02
295,30660852,test_family_ood,4,g_100011111,stress,20261221,sha256 source ordering + balanced cyclic geometry,100011111,"0,80,100,120,140,160",2,0.05
296,30760821,test_joint_ood,5,g_110001111,stress,20261221,sha256 source ordering + balanced cyclic geometry,110001111,"0,20,100,120,140,160",2,0.08
297,30760822,test_joint_ood,5,g_110001111,stress,20261221,sha256 source ordering + balanced cyclic geometry,110001111,"0,20,100,120,140,160",2,0.12
298,30760823,test_joint_ood,5,g_110001111,stress,20261221,sha256 source ordering + balanced cyclic geometry,110001111,"0,20,100,120,140,160",2,0.08
299,30760824,test_joint_ood,5,g_100011111,stress,20261221,sha256 source ordering + balanced cyclic geometry,100011111,"0,80,100,120,140,160",2,0.12
300,30760825,test_joint_ood,5,g_100011111,stress,20261221,sha256 source ordering + balanced cyclic geometry,100011111,"0,80,100,120,140,160",2,0.08
301,30760826,test_joint_ood,5,g_100011111,stress,20261221,sha256 source ordering + balanced cyclic geometry,100011111,"0,80,100,120,140,160",2,0.12
302,30760827,test_joint_ood,5,g_111000111,stress,20261221,sha256 source ordering + balanced cyclic geometry,111000111,"0,20,40,120,140,160",2,0.08
303,30760828,test_joint_ood,5,g_111010011,stress,20261221,sha256 source ordering + balanced cyclic geometry,111010011,"0,20,40,80,140,160",2,0.12
304,30760829,test_joint_ood,5,g_111000111,stress,20261221,sha256 source ordering + balanced cyclic geometry,111000111,"0,20,40,120,140,160",2,0.08
305,30760830,test_joint_ood,5,g_111010011,stress,20261221,sha256 source ordering + balanced cyclic geometry,111010011,"0,20,40,80,140,160",2,0.12
306,30760831,test_joint_ood,5,g_100011111,stress,20261221,sha256 source ordering + balanced cyclic geometry,100011111,"0,80,100,120,140,160",2,0.08
307,30760832,test_joint_ood,5,g_111000111,stress,20261221,sha256 source ordering + balanced cyclic geometry,111000111,"0,20,40,120,140,160",2,0.12
308,30760833,test_joint_ood,5,g_111000111,stress,20261221,sha256 source ordering + balanced cyclic geometry,111000111,"0,20,40,120,140,160",2,0.08
309,30760834,test_joint_ood,5,g_110001111,stress,20261221,sha256 source ordering + balanced cyclic geometry,110001111,"0,20,100,120,140,160",2,0.12
310,30760835,test_joint_ood,5,g_111000111,stress,20261221,sha256 source ordering + balanced cyclic geometry,111000111,"0,20,40,120,140,160",2,0.08
311,30760836,test_joint_ood,5,g_111000111,stress,20261221,sha256 source ordering + balanced cyclic geometry,111000111,"0,20,40,120,140,160",2,0.12
312,30760837,test_joint_ood,5,g_111010011,stress,20261221,sha256 source ordering + balanced cyclic geometry,111010011,"0,20,40,80,140,160",2,0.08
313,30760838,test_joint_ood,5,g_111010011,stress,20261221,sha256 source ordering + balanced cyclic geometry,111010011,"0,20,40,80,140,160",2,0.12
314,30760839,test_joint_ood,5,g_100011111,stress,20261221,sha256 source ordering + balanced cyclic geometry,100011111,"0,80,100,120,140,160",2,0.08
315,30760840,test_joint_ood,5,g_111010011,stress,20261221,sha256 source ordering + balanced cyclic geometry,111010011,"0,20,40,80,140,160",2,0.12
316,30760841,test_joint_ood,5,g_111010011,stress,20261221,sha256 source ordering + balanced cyclic geometry,111010011,"0,20,40,80,140,160",2,0.08
317,30760842,test_joint_ood,5,g_100011111,stress,20261221,sha256 source ordering + balanced cyclic geometry,100011111,"0,80,100,120,140,160",2,0.12
318,30760843,test_joint_ood,5,g_111010011,stress,20261221,sha256 source ordering + balanced cyclic geometry,111010011,"0,20,40,80,140,160",2,0.08
319,30760844,test_joint_ood,5,g_110001111,stress,20261221,sha256 source ordering + balanced cyclic geometry,110001111,"0,20,100,120,140,160",2,0.12
320,30760845,test_joint_ood,5,g_100011111,stress,20261221,sha256 source ordering + balanced cyclic geometry,100011111,"0,80,100,120,140,160",2,0.08
321,30760846,test_joint_ood,5,g_110001111,stress,20261221,sha256 source ordering + balanced cyclic geometry,110001111,"0,20,100,120,140,160",2,0.12
322,30760847,test_joint_ood,5,g_111000111,stress,20261221,sha256 source ordering + balanced cyclic geometry,111000111,"0,20,40,120,140,160",2,0.08
323,30760848,test_joint_ood,5,g_110001111,stress,20261221,sha256 source ordering + balanced cyclic geometry,110001111,"0,20,100,120,140,160",2,0.12
324,30760849,test_joint_ood,5,g_111000111,stress,20261221,sha256 source ordering + balanced cyclic geometry,111000111,"0,20,40,120,140,160",2,0.08
325,30760850,test_joint_ood,5,g_111010011,stress,20261221,sha256 source ordering + balanced cyclic geometry,111010011,"0,20,40,80,140,160",2,0.12
326,30760851,test_joint_ood,5,g_100011111,stress,20261221,sha256 source ordering + balanced cyclic geometry,100011111,"0,80,100,120,140,160",2,0.08
327,30760852,test_joint_ood,5,g_110001111,stress,20261221,sha256 source ordering + balanced cyclic geometry,110001111,"0,20,100,120,140,160",2,0.12
